checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,health_status,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
no checking,18,no credits/all paid,business,4165.0,<100,1<=X<4,2,male single,none,2,car,36,stores,own,2,skilled,2,none,yes,bad,-0.8472676370533175,,0.21363556885215804,0.9138313316213054,0.3674873150874136,0.722419012540768,0.7962142764089383,0.008383169629052056,0.7077352614807909,0.36086547184970097,False
0<=X<200,24,existing paid,furniture/equipment,4351.0,no known savings,1<=X<4,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good,-0.9510119257577021,-0.9924144678450889,0.7121124561747564,,0.00753619796356364,0.8212693921666948,0.5074020568104509,0.36159881309673647,0.29598312157491746,0.35257225072741627,False
0<=X<200,9,all paid,new car,1437.0,100<=X<500,4<=X<7,2,male single,none,3,no known property,29,none,own,1,skilled,1,none,yes,bad,-0.0803943547328594,0.3415058547344529,0.6627044763119986,0.8841243074948626,0.7416419621444215,0.45402358618753447,0.672026004923376,0.9089819159738015,0.11931283333110565,0.5806756824144815,True
>=200,36,existing paid,radio/tv,5848.0,<100,1<=X<4,4,male single,none,1,car,24,none,own,1,skilled,1,none,yes,good,,-0.5915568932325466,0.6902361069420624,0.8031501101826982,0.29744458848989697,0.7905527842924888,0.7440027761360481,0.7524174294293907,0.06715123702456893,0.906280240011938,False
no checking,18,existing paid,radio/tv,1453.0,<100,<1,3,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,none,yes,good,0.9996113072023485,,0.06643976574110239,0.6827791659406237,0.0914834165109849,0.6598877258481727,0.5920331238735296,0.4835411078558838,0.8829581326898028,0.2545631651146648,False
no checking,12,critical/other existing credit,radio/tv,1291.0,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good,0.048707755809684936,-0.24980326228705782,0.39168563054696753,0.2020534741931501,0.9279427094146259,0.8903829568324286,0.8592114340905586,0.8011221083882115,0.5674199631302993,0.012270294560494555,False
0<=X<200,18,existing paid,used car,2779.0,<100,1<=X<4,1,male mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,good,-0.2910007610459614,0.9881933059045537,0.6340504535510179,-0.9536242575838668,0.5290792462649518,0.8469473576667256,0.463094356686788,0.5361573052626188,0.7938082269488222,0.05348085468834596,True
no checking,6,critical/other existing credit,radio/tv,1382.0,<100,1<=X<4,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good,0.9979628252333691,-0.5502192237586385,0.028751275028491743,-0.8125239779305798,0.3792008476556389,0.2400888025221719,0.4048539676272105,0.01045516563947213,0.07527857371316538,0.7451428025701661,False
no checking,18,critical/other existing credit,radio/tv,1800.0,<100,1<=X<4,4,male single,none,2,car,24,none,own,2,skilled,1,none,yes,good,-0.46120554274172865,-0.49800572686437317,,-0.2707215735421936,0.500269116196347,0.965988486889623,0.6365374138698512,0.8574715953754084,0.22433905303570867,0.476165062112175,True
>=200,12,critical/other existing credit,new car,939.0,500<=X<1000,4<=X<7,4,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad,0.16424818954628131,,,0.8589443598042359,0.049389690809002906,0.2340078958340075,0.0634883286735054,0.4560550602582768,0.701128023575002,0.7741514307819655,False
no checking,48,existing paid,business,4844.0,<100,unemployed,3,male single,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad,0.48213882611794384,0.4367531558518726,0.7012546243631161,0.04856850941005412,0.5201376347841434,0.30571111734609746,0.5932881311636101,0.24797093942102033,0.5184795832118511,0.0394933829329116,True
0<=X<200,72,existing paid,radio/tv,5595.0,100<=X<500,1<=X<4,2,male mar/wid,none,2,car,24,none,own,1,skilled,1,none,yes,bad,-0.6127555984373071,-0.026717354346800042,0.5104311147454624,0.1734444131477147,0.4743906365481423,0.5737737009997399,0.766886314942877,0.45163609888767964,0.5674963422702022,0.4503784041147042,True
<0,28,existing paid,new car,4006.0,<100,1<=X<4,3,male single,none,2,car,45,none,own,1,unskilled resident,1,none,yes,bad,-0.6275101981061986,,0.8282143775935962,-0.5411665995029934,0.6199235180919593,0.3630867745276829,0.0006373190468541567,0.7528025840160146,0.06835886876222774,0.9430745180401781,True
no checking,12,existing paid,used car,1413.0,>=1000,4<=X<7,3,male single,none,2,life insurance,55,none,own,1,skilled,1,none,no,good,-0.9481761809090309,-0.9379429155167464,0.21922212752290968,0.4452119626501695,0.4876173492595045,0.6845695727992743,0.9932396677680717,0.6020998578174402,0.05726920950321901,0.9972165301676783,True
no checking,42,existing paid,radio/tv,7166.0,no known savings,4<=X<7,2,male mar/wid,none,4,life insurance,29,none,rent,1,skilled,1,yes,yes,good,-0.8503314082358865,,,-0.7724900344600247,0.5204166838245508,0.2939794659075503,0.021795294076249472,0.6016974816321983,0.7460342124814099,0.9112554628204977,True
no checking,18,existing paid,new car,6761.0,no known savings,1<=X<4,2,male single,none,4,car,68,none,rent,2,skilled,1,none,yes,bad,-0.8136366800037407,-0.8794860352123435,0.7147134177128434,0.8837573152116718,0.6337286848296523,0.853784072001009,0.38581409453944604,0.7765528551840826,0.5078144805598792,0.22295043312093465,True
>=200,21,existing paid,new car,2923.0,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0.9961575687104264,-0.8909418176643056,0.007536126628276985,,0.5676138362913957,0.11262942344870508,0.570500517477005,0.507814655539364,0.05182702104382497,0.007422311282992755,False
no checking,24,critical/other existing credit,used car,3868.0,<100,>=7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,0.4570922944342846,0.09843235855312678,0.2916803622970618,-0.9826283439483662,0.14655210421511167,0.1962556353356688,0.5453079060633927,0.7211001988048831,0.5026829392641646,0.41596684365536096,False
no checking,24,critical/other existing credit,radio/tv,2424.0,no known savings,>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good,-0.9438272874610559,0.28581660476385207,0.622572738025392,-0.6170915523643424,0.30103466299718384,0.871057126973858,0.1198066152072148,0.42777776870514694,0.9298703146672325,0.08191755279138646,True
no checking,18,critical/other existing credit,radio/tv,6070.0,<100,>=7,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,good,,-0.15222905989429716,0.29307796656612095,0.49622923608405994,0.5867489818782724,0.4550206479353124,0.7669286270048865,0.07257939736368446,0.6308477339913416,0.35220275689416813,False
<0,48,existing paid,radio/tv,6999.0,<100,4<=X<7,1,male mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad,-0.8403594689292746,-0.7226221268551858,0.06710078101696942,-0.595609688197602,0.7837344796691937,0.2551281676988397,0.409977345892385,0.6867929629328904,0.9517755296384435,0.2916912360260766,True
no checking,30,critical/other existing credit,radio/tv,5954.0,<100,4<=X<7,3,male single,co applicant,2,car,38,none,own,1,skilled,1,none,yes,good,0.2729289970010373,-0.4303715097020628,0.5580492771965326,-0.4329602689552471,0.047978529541394255,0.2838164747860089,0.6829387454379668,0.9181324416098944,0.664989453832532,0.15610399317716084,False
<0,48,existing paid,business,4308.0,<100,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad,,0.9212686124390042,,-0.46093774871077364,0.1015316508523133,0.08932730936360078,0.7296598259902032,0.8093383463307008,0.8573037571567744,0.5791906911361737,False
<0,30,existing paid,furniture/equipment,6350.0,no known savings,>=7,4,male single,none,4,life insurance,31,none,own,1,skilled,1,none,yes,bad,-0.8903629323662177,0.9657931404483467,0.5374581195335283,,0.06843327947319633,0.05355219375323461,0.6724124586896952,0.9266514541888179,0.5343143768386155,0.518466602302934,False
0<=X<200,60,all paid,other,14782.0,100<=X<500,>=7,3,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad,0.4786798457374146,0.962562596890061,0.4467186831686776,,0.33932046459746223,0.4766791137832621,0.5621082950328735,0.41840912216932824,0.748929670969577,0.7282889099030988,True
no checking,12,existing paid,new car,1884.0,<100,>=7,4,male single,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,-0.7453144474324124,,0.37017820652818395,,0.9506161434041459,0.507501749170899,0.5440665930542389,0.6724273740823343,0.26788662606961555,0.7512949965466897,False
0<=X<200,12,existing paid,new car,1295.0,<100,<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad,0.3478788944269959,,0.07520749495354118,0.8267747980635484,0.7032623108008398,0.7654133256258109,0.6910294699590009,0.6567809253406678,0.5298734404713581,0.6207044425236213,True
0<=X<200,9,existing paid,radio/tv,1206.0,<100,>=7,4,female div/dep/mar,none,4,real estate,25,none,own,1,skilled,1,none,yes,good,-0.23631418463024648,0.834101278965031,,-0.14937682144299902,0.025711259742924653,0.6993169295245651,0.8688316785185152,0.8664426615082953,0.5007271034530127,0.5381470862769706,False
<0,24,existing paid,radio/tv,1282.0,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad,-0.42843199807668564,,,-0.19718558163547695,0.6360638524588286,0.9955988942736427,0.5574301936917437,0.9737765058323717,0.5865191347496633,0.034718852049708704,True
0<=X<200,18,critical/other existing credit,radio/tv,1245.0,<100,1<=X<4,4,male mar/wid,none,2,car,33,none,own,1,skilled,1,none,yes,bad,0.06560041785251916,-0.45015517379055336,0.645080037209909,0.6313273982409281,0.6966307876365083,0.1798996688506711,0.30883753848415885,0.3550789751895955,0.9506300125297986,0.8222066647950813,False
0<=X<200,30,critical/other existing credit,new car,5234.0,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad,0.9842908941693105,0.09479318391772984,0.5590902523002694,-0.3317110502403221,0.985877821143098,0.3817571601633032,0.8348149182542376,0.12904673488929097,0.5193993918392398,0.2022652470399522,True
<0,16,critical/other existing credit,new car,2625.0,<100,>=7,2,male single,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad,0.9999317949836105,0.9934115406236164,0.4567964598196059,0.43905958177209065,0.2733919543156763,0.11986113192770298,0.5843773838037197,0.588670661953882,0.8120553593356393,0.9930787912969448,False
0<=X<200,24,existing paid,new car,1201.0,<100,<1,4,male single,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good,0.9609479964524915,0.45182982108999203,0.5375225277644178,-0.7028536450860791,0.31723990841784866,0.30207936135548297,0.5499701405230024,0.1977676680304219,0.0799187336018512,0.016675092305646233,False
<0,36,delayed previously,business,2145.0,<100,4<=X<7,2,male single,none,1,car,24,none,own,2,skilled,1,yes,yes,bad,-0.7443101386993703,0.574689694513462,0.0006373190037102534,0.7813038674272357,0.9906796247994705,0.8035743840345081,0.4711128013110335,0.816403633083126,0.06475935611634343,0.23527938628242984,False
<0,10,existing paid,radio/tv,2315.0,<100,>=7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good,0.5249884725776761,,0.4685222632446241,0.9999656720774337,0.8268987875219134,0.924836847447847,0.9679591669190516,0.5773666744460001,0.7703782573063889,0.4879713062256057,True
0<=X<200,11,delayed previously,radio/tv,4771.0,<100,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good,-0.9345520721458961,-0.2847966156335909,0.0572379097368579,-0.9997260222014127,0.9070715134110591,0.7703557863906906,0.988891719290023,0.5478975422372521,0.5777546747406898,0.8296853267052993,True
0<=X<200,24,delayed previously,furniture/equipment,2333.0,no known savings,<1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,good,,,,,0.7536336561322634,0.9753269755155746,0.44578425901829644,0.22987721902005698,0.23758101869643988,0.8346941699477033,False
<0,27,no credits/all paid,business,5293.0,<100,unemployed,2,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad,-0.7137252413555142,-0.4460209911049603,0.5921535354113532,,0.04099913484144524,0.31502234685003205,0.02069234376548945,0.7539634836598477,0.668248478667206,0.1718765341951023,True
no checking,12,critical/other existing credit,radio/tv,1934.0,<100,>=7,2,male single,none,2,no known property,26,none,own,2,skilled,1,none,yes,good,0.7722007686334156,-0.56860140247241,0.4862686824259568,-0.08779848434337895,0.7832727530563572,0.8050939142281796,0.647348003459426,0.14607902180800125,0.013274834607977182,0.5382499586197014,False
<0,36,critical/other existing credit,education,8065.0,<100,1<=X<4,3,female div/dep/mar,none,2,no known property,25,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,0.21111532725345517,0.9777318606346295,0.5400533672746509,-0.20360510011362085,0.6018752262337288,0.22811860971897235,0.5216995347693618,0.8121351430022009,0.43278878775413454,0.9316060371321169,True
no checking,36,existing paid,used car,8133.0,<100,1<=X<4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good,,-0.4269106898530764,0.14602807133818863,0.17808136050126144,0.024924718585872085,0.8747027643498738,0.7983648751939663,0.17181971268129803,0.08581293805969026,0.06527630469943202,False
no checking,15,critical/other existing credit,radio/tv,1471.0,<100,1<=X<4,4,male single,none,4,no known property,35,none,for free,2,skilled,1,yes,yes,good,-0.9017130016454158,0.08752767436434045,0.48177831100179147,,0.9752886315444232,0.2902381871806613,0.9665656735537556,0.8502234338486012,0.6494509827621093,0.003129624145521759,True
0<=X<200,24,delayed previously,business,4712.0,no known savings,1<=X<4,4,male single,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,-0.9668163989093845,0.15734657310422123,0.11952021095931681,-0.8443804169257532,0.5875724668211216,0.1635662056163475,0.3938574151688914,0.9025574490570044,0.10460032065373248,0.7595518600029515,False
no checking,12,existing paid,furniture/equipment,1736.0,<100,4<=X<7,3,female div/dep/mar,none,4,real estate,31,none,own,1,unskilled resident,1,none,yes,good,-0.9523188692782474,0.9538064378964068,0.5536566843452296,-0.6690864192627871,0.9715922725642749,0.07328305589713513,0.7740899145242272,0.9803901123513103,0.44372638362742856,0.9788936729399128,False
no checking,9,existing paid,new car,3577.0,100<=X<500,1<=X<4,1,male single,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,good,0.962110288521754,-0.726195696305993,0.5898295385496719,-0.9819359152191703,0.30624111060675563,0.36685540213108503,0.4566656655015736,0.9634362117175581,0.4292556478519468,0.2176899420010513,False
no checking,24,critical/other existing credit,furniture/equipment,1585.0,<100,4<=X<7,4,male single,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good,0.1656019648645999,0.8660559749985128,0.39858855132832377,0.9999027282898018,0.9960921710502758,0.7469569873282211,0.9742775774499406,0.10401659108440398,0.8120204664513537,0.004166725587330999,False
no checking,24,existing paid,furniture/equipment,929.0,no known savings,4<=X<7,4,male single,none,2,car,31,stores,own,1,skilled,1,yes,yes,good,0.8014844249012807,-0.8452647053014469,0.04796012438280629,-0.6415921005077816,0.8422851370661966,0.012410778381798493,0.9098183763538585,0.9672971626732005,0.3678245600970512,0.49840201496489456,False
no checking,24,existing paid,radio/tv,5943.0,no known savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad,-0.7319393274154262,-0.9751359530169692,,0.5484861842139979,0.027699553012153655,0.7366394254899293,0.9075882944886451,0.8326907054852974,0.2912528625797307,0.9426176880810697,False
<0,9,existing paid,new car,654.0,<100,1<=X<4,4,male single,none,3,car,28,none,own,1,unskilled resident,1,none,yes,bad,,0.9877868617104676,0.6666161074596143,0.3253619665438997,0.492221053623773,0.7621361366890873,0.9097288196793906,0.36433354021812914,0.5834064138389107,0.23476780455047408,True
no checking,24,existing paid,radio/tv,1533.0,<100,<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good,-0.7878893653850231,-0.5335951843183403,0.06837987850698055,0.9993779232383612,0.34364213440833613,0.87983727537144,0.8924287377442937,0.22090572413422926,0.9887802291511184,0.9394596658086087,False
<0,12,critical/other existing credit,furniture/equipment,2246.0,<100,>=7,3,male single,none,3,life insurance,60,none,own,2,skilled,1,none,yes,bad,-0.9544467696896609,-0.4293117173470936,,-0.09835998930377793,0.5850017316012537,0.6865090215017253,0.5595955221525507,0.477187164390253,0.9606911664526135,0.9117732101445912,True
no checking,24,existing paid,used car,2679.0,<100,<1,4,female div/dep/mar,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0.5854805739351941,-0.3880778421750103,0.5329712798032751,,0.5314722124847211,0.08446949562944828,0.2389908773934568,0.8508914607042728,0.788839375705256,0.45947497200066933,False
no checking,15,existing paid,domestic appliance,1262.0,500<=X<1000,4<=X<7,4,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good,,0.7897058698785516,0.8137737505660184,-0.2066676178479837,0.6661551774219926,0.5477066546446373,0.8853243823790141,0.7285178301125343,0.8921840037085386,0.2639765319246774,True
0<=X<200,9,critical/other existing credit,radio/tv,1154.0,<100,>=7,2,male single,none,4,real estate,37,none,own,3,unskilled resident,1,none,yes,good,-0.8412462513457264,,0.2646940342601004,0.7906243443227177,0.5740762004773897,0.5403642479175323,0.13964647614174053,0.18226454247516288,0.20138352168663332,0.4007904018670595,False
0<=X<200,48,all paid,new car,12169.0,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,0.9360363826111111,0.04688466529613408,0.6373308193814677,0.9593313696845455,0.5083213615835659,0.8042981379344138,0.8862005010305293,0.6692572191690191,0.3139908581410872,0.23408722372970425,True
0<=X<200,18,existing paid,new car,1042.0,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,none,yes,bad,0.4075148757294884,0.66996261905452,,,0.547534456453631,0.18517926546171848,0.7400858847601359,0.5385171551558364,0.9396407370684544,0.7729547123139419,False
